AuthorID,Name,GenderID,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
0,David Wojnarowicz,Male,USA,USA,7/22/92,9/14/54,White,NA
1,Will Eisner,Male,USA,USA,1/3/05,3/6/17,White,NA
6,Alex Ross,Male,USA,USA,NA,1/22/70,White,NA
10,Gene Luen Yang,Male,USA,USA,NA,8/9/73,Asian,NA
13,David Mazzucchelli,Male,USA,USA,NA,9/21/60,Unknown,NA
14,Mike Mignola,Male,USA,USA,NA,9/16/60,White,NA
22,Frank Miller,Male,USA,USA,NA,1/27/57,White,NA
25,Adrian Tomine,Male,USA,USA,NA,5/13/74,Asian,NA
26,Dave Gibbons,Male,UK,UK,NA,4/14/49,White,NA
30,Alison Bechdel,Female,USA,USA,NA,9/10/60,White,NA
33,Art Spiegelman,Male,Sweden,USA,NA,2/15/48,White,NA
34,Ben Katchor,Male,USA,USA,NA,1/1/51,White,NA
36,Brandon Graham,Male,USA,USA,NA,1/1/76,White,NA
37,Brian Fies,Male,NA,NA,NA,NA,Unknown,NA
39,Carla Speed McNeill,Female,USA,USA,NA,NA,White,NA
40,Charles Burns,Male,USA,USA,NA,9/27/55,White,NA
41,Chester Brown,Male,Canada,Canada,NA,5/16/60,White,NA
42,Chris Ware,Male,USA,USA,NA,12/28/67,White,NA
43,Craig Thompson,Male,USA,USA,NA,9/21/75,White,NA
45,Daniel Clowes,Male,USA,USA,NA,4/14/61,White,NA
46,Darwyn Cooke,Male,Canada,Canada,NA,1/1/62,White,NA
47,Dave McKean,Male,UK,UK,NA,12/29/63,White,NA
48,Dave Stevens,Male,USA,USA,3/11/08,7/29/55,White,NA
50,Derek Kirk Kim,Male,South Korea,USA,NA,1/1/74,Asian,NA
53,Dylan Horrocks,Male,New Zealand,New Zealand,NA,1/1/66,White,NA
55,Edie Fake,Male,USA,USA,NA,1/1/80,White,NA
56,Ellen Forney,Female,USA,USA,NA,3/8/68,White,NA
62,M. K. Perker,Male,Turkey,USA,NA,11/2/72,White,NA
63,Gabriel Ba,Male,Brazil,Brazil,NA,6/5/76,Hispanic Origin,NA
65,John McCrea,Male,UK,UK,NA,1/1/66,White,NA
69,Gilbert Hernandez,Male,USA,USA,NA,2/1/57,Other Race,NA
72,Howard Cruse,Male,USA,USA,NA,5/2/44,White,NA
73,Jason Lutes,Male,USA,USA,NA,12/7/67,White,NA
75,Jeff Lemire,Male,Canada,Canada,NA,3/21/76,White,NA
76,Jeff Smith,Male,USA,USA,NA,2/27/60,White,NA
79,Joe Kubert,Male,Poland,USA,8/12/12,9/18/26,White,NA
80,Joe Sacco,Male,Malta,USA,NA,10/2/60,White,NA
